,Pre-pulse (mV),,Holding Potential: -120mV,,,,,,,,,,,
1.4,-2.98E-12,-7.91E-14,-1.36E-11,2.68E-12,-2.49E-11,-1.91E-11,-5.37E-11,-1.17E-10,-1.51E-10,-1.71E-10,-2.67E-10,-3.56E-10,-6.30E-10,-1.04E-09
1.5,9.52E-12,1.40E-11,1.11E-11,1.11E-12,-3.46E-11,-4.41E-11,-6.12E-11,-1.20E-10,-1.55E-10,-1.64E-10,-2.59E-10,-3.63E-10,-6.27E-10,-1.02E-09
1.6,1.26E-11,2.06E-11,-2.34E-12,-7.95E-12,-4.75E-11,-5.66E-11,-5.59E-11,-1.10E-10,-1.42E-10,-1.88E-10,-2.70E-10,-3.64E-10,-6.42E-10,-1.03E-09
1.7,5.15E-12,2.37E-11,-2.02E-11,-7.63E-13,-5.34E-11,-6.63E-11,-5.78E-11,-1.21E-10,-1.40E-10,-1.77E-10,-2.43E-10,-3.61E-10,-6.44E-10,-1.06E-09
1.8,4.57E-13,-1.33E-12,4.54E-12,-7.64E-12,-5.00E-11,-7.03E-11,-7.22E-11,-1.06E-10,-1.44E-10,-1.77E-10,-2.31E-10,-3.78E-10,-6.39E-10,-1.08E-09
1.9,2.64E-12,-4.14E-12,3.29E-12,-2.20E-11,-3.00E-11,-5.34E-11,-5.91E-11,-1.00E-10,-1.43E-10,-1.96E-10,-2.42E-10,-3.80E-10,-6.55E-10,-1.09E-09
2,1.70E-11,-7.04E-13,1.05E-11,-1.55E-11,-1.31E-11,-2.50E-11,-8.16E-11,-1.13E-10,-1.46E-10,-1.89E-10,-2.51E-10,-3.62E-10,-6.60E-10,-1.09E-09
2.1,1.30E-11,5.23E-12,-1.40E-12,-1.17E-11,-2.78E-11,-2.97E-11,-7.22E-11,-1.03E-10,-1.42E-10,-1.90E-10,-2.42E-10,-3.56E-10,-6.32E-10,-1.06E-09
2.2,-4.23E-12,8.99E-12,-1.58E-11,-2.58E-11,-2.40E-11,-2.78E-11,-7.41E-11,-9.02E-11,-1.44E-10,-1.88E-10,-2.56E-10,-3.42E-10,-6.17E-10,-1.03E-09
2.3,-9.86E-12,2.73E-12,-1.89E-11,-3.26E-11,-2.43E-11,-3.03E-11,-5.56E-11,-1.10E-10,-1.35E-10,-1.89E-10,-2.59E-10,-3.67E-10,-6.16E-10,-1.02E-09
2.4,-9.86E-12,-1.64E-12,4.85E-12,-1.61E-11,-3.12E-11,-4.56E-11,-4.53E-11,-1.10E-10,-1.30E-10,-1.93E-10,-2.37E-10,-3.86E-10,-6.16E-10,-1.01E-09
2.5,-8.61E-12,1.24E-11,1.83E-11,2.68E-12,-3.25E-11,-5.31E-11,-5.66E-11,-1.17E-10,-1.24E-10,-1.68E-10,-2.55E-10,-3.63E-10,-6.21E-10,-1.01E-09
2.6,-8.92E-12,-1.16E-11,1.92E-11,1.52E-11,-3.03E-11,-5.69E-11,-5.12E-11,-1.12E-10,-1.31E-10,-1.61E-10,-2.69E-10,-3.57E-10,-6.10E-10,-1.00E-09
2.7,6.08E-12,-3.52E-12,4.54E-12,-9.83E-12,-5.26E-12,-4.19E-11,-3.81E-11,-1.07E-10,-1.44E-10,-1.78E-10,-2.59E-10,-3.42E-10,-5.91E-10,-9.98E-10
2.8,-6.42E-12,-5.71E-12,-4.21E-12,2.68E-12,-1.82E-12,-2.84E-11,-3.47E-11,-1.10E-10,-1.28E-10,-1.76E-10,-2.36E-10,-3.49E-10,-5.93E-10,-9.91E-10
2.9,4.52E-12,1.77E-11,1.14E-11,-1.39E-12,-1.99E-11,-3.00E-11,-4.19E-11,-9.64E-11,-1.31E-10,-1.89E-10,-2.44E-10,-3.61E-10,-5.86E-10,-9.78E-10
3,1.08E-11,1.40E-11,2.98E-12,-1.83E-11,-2.03E-11,-3.31E-11,-5.69E-11,-1.06E-10,-1.28E-10,-1.77E-10,-2.42E-10,-3.53E-10,-6.15E-10,-9.66E-10
3.1,1.44E-13,1.77E-11,-6.09E-12,-6.39E-12,-2.09E-11,-2.81E-11,-6.37E-11,-9.17E-11,-1.26E-10,-1.75E-10,-2.39E-10,-3.41E-10,-6.13E-10,-9.54E-10
3.2,9.83E-12,2.06E-11,-2.02E-12,-9.52E-12,-1.99E-11,-2.50E-11,-6.41E-11,-8.89E-11,-1.32E-10,-1.79E-10,-2.25E-10,-3.59E-10,-6.05E-10,-9.61E-10
3.3,1.58E-11,6.17E-12,-1.58E-11,-1.51E-11,-4.37E-11,-1.69E-11,-4.62E-11,-9.11E-11,-1.45E-10,-1.83E-10,-2.20E-10,-3.47E-10,-5.92E-10,-9.76E-10
3.4,-1.58E-11,-3.21E-12,-2.61E-11,-2.14E-11,-4.62E-11,-1.12E-11,-5.16E-11,-1.01E-10,-1.42E-10,-1.89E-10,-2.28E-10,-3.41E-10,-5.78E-10,-9.66E-10
3.5,-1.20E-11,2.42E-12,-1.48E-11,-7.33E-12,-3.06E-11,-1.81E-11,-5.69E-11,-9.99E-11,-1.35E-10,-1.83E-10,-2.18E-10,-3.27E-10,-5.74E-10,-9.70E-10
3.6,1.39E-11,-8.21E-12,-1.09E-12,-1.14E-11,-2.24E-11,-2.44E-11,-5.19E-11,-1.06E-10,-1.38E-10,-1.67E-10,-2.22E-10,-3.23E-10,-5.79E-10,-9.59E-10
3.7,7.33E-12,-1.35E-11,-1.27E-11,-1.48E-11,-1.28E-11,-4.28E-11,-8.72E-11,-9.11E-11,-1.21E-10,-1.62E-10,-2.29E-10,-3.26E-10,-6.02E-10,-9.40E-10
3.8,1.67E-11,-3.92E-13,-7.74E-13,-1.67E-11,-1.74E-11,-3.84E-11,-7.91E-11,-8.39E-11,-1.32E-10,-1.62E-10,-2.20E-10,-3.17E-10,-5.97E-10,-9.57E-10
3.9,2.92E-11,3.98E-12,-7.96E-12,-1.45E-11,-7.44E-12,-5.09E-11,-6.75E-11,-1.10E-10,-1.34E-10,-1.69E-10,-2.14E-10,-3.25E-10,-5.93E-10,-9.34E-10
4,1.39E-12,1.21E-11,-1.42E-11,-1.20E-11,-2.43E-11,-4.19E-11,-5.31E-11,-1.00E-10,-1.36E-10,-1.83E-10,-2.21E-10,-3.38E-10,-5.99E-10,-9.39E-10
4.1,-7.98E-12,7.74E-12,-2.34E-12,-1.01E-11,-2.90E-11,-5.50E-11,-2.69E-11,-1.03E-10,-1.37E-10,-1.70E-10,-2.24E-10,-3.42E-10,-6.21E-10,-9.46E-10
4.2,-1.77E-11,-5.08E-12,-3.90E-12,-2.05E-11,-3.71E-11,-4.47E-11,-3.22E-11,-9.96E-11,-1.35E-10,-1.85E-10,-2.10E-10,-3.36E-10,-6.18E-10,-9.38E-10
4.3,-9.23E-12,-9.14E-12,-2.20E-11,-1.01E-11,-3.81E-11,-2.75E-11,-5.25E-11,-9.36E-11,-1.20E-10,-1.84E-10,-2.25E-10,-3.28E-10,-5.81E-10,-9.45E-10
4.4,-1.33E-11,2.11E-12,-1.33E-11,1.42E-11,-3.56E-11,-3.13E-11,-4.72E-11,-1.05E-10,-1.25E-10,-1.86E-10,-2.46E-10,-3.20E-10,-5.56E-10,-9.53E-10
4.5,-3.29E-12,-8.21E-12,-1.05E-11,-2.14E-11,-2.09E-11,-1.87E-11,-2.84E-11,-1.05E-10,-1.13E-10,-1.74E-10,-2.29E-10,-3.31E-10,-5.69E-10,-9.32E-10
4.6,-7.94E-13,8.99E-12,-1.45E-11,-1.48E-11,-9.01E-12,-2.25E-11,-3.09E-11,-8.80E-11,-1.22E-10,-1.82E-10,-2.06E-10,-3.33E-10,-5.68E-10,-9.34E-10
4.7,-1.99E-11,2.11E-12,-9.53E-12,-1.95E-11,-1.43E-11,-2.59E-11,-3.22E-11,-9.14E-11,-1.21E-10,-1.82E-10,-1.99E-10,-3.15E-10,-5.66E-10,-9.33E-10
4.8,-1.74E-11,5.55E-12,-1.02E-11,-8.58E-12,-7.13E-12,-2.53E-11,-4.31E-11,-7.11E-11,-9.37E-11,-1.63E-10,-2.07E-10,-3.09E-10,-5.81E-10,-9.27E-10
4.9,-4.23E-12,2.37E-11,-1.40E-12,-1.76E-11,-2.21E-11,-4.09E-11,-6.34E-11,-9.21E-11,-1.19E-10,-1.56E-10,-2.34E-10,-3.16E-10,-5.73E-10,-9.26E-10
5,-1.73E-12,4.81E-11,-1.71E-12,-3.05E-11,-4.18E-11,-5.03E-11,-6.50E-11,-8.67E-11,-1.18E-10,-1.58E-10,-2.18E-10,-3.17E-10,-5.80E-10,-9.22E-10
5.1,-1.11E-12,1.40E-11,-1.30E-11,-2.98E-11,-4.00E-11,-2.63E-11,-4.72E-11,-8.39E-11,-1.27E-10,-1.62E-10,-2.17E-10,-3.38E-10,-5.76E-10,-9.11E-10
5.2,-1.73E-12,-1.64E-12,-1.58E-11,-2.64E-11,-3.12E-11,-1.34E-11,-5.78E-11,-9.64E-11,-1.36E-10,-1.59E-10,-2.30E-10,-3.20E-10,-5.72E-10,-9.06E-10
5.3,-1.11E-12,-7.58E-12,-2.64E-11,-3.51E-11,-1.62E-11,-3.06E-11,-6.03E-11,-9.71E-11,-1.33E-10,-1.63E-10,-2.24E-10,-3.10E-10,-5.68E-10,-8.94E-10
5.4,4.21E-12,8.59E-13,-2.27E-11,-9.20E-12,-9.32E-12,-4.41E-11,-4.91E-11,-1.02E-10,-1.13E-10,-1.66E-10,-1.99E-10,-3.04E-10,-5.56E-10,-9.05E-10
5.5,-1.77E-11,5.55E-12,-1.40E-12,-8.58E-12,-2.96E-11,-3.88E-11,-6.03E-11,-9.80E-11,-1.07E-10,-1.65E-10,-1.84E-10,-3.09E-10,-5.40E-10,-9.02E-10
5.6,-2.27E-11,-1.64E-12,6.10E-12,-6.70E-12,-3.59E-11,-4.13E-11,-7.44E-11,-9.30E-11,-1.34E-10,-1.57E-10,-1.73E-10,-3.17E-10,-5.52E-10,-9.02E-10
5.7,-1.77E-11,1.34E-11,-2.27E-11,-3.26E-12,-2.71E-11,-3.53E-11,-4.53E-11,-9.30E-11,-1.28E-10,-1.49E-10,-2.03E-10,-3.19E-10,-5.47E-10,-9.09E-10
5.8,-1.45E-11,2.59E-11,-4.27E-11,-6.08E-12,-2.28E-11,-4.50E-11,-4.19E-11,-9.24E-11,-1.10E-10,-1.49E-10,-1.91E-10,-3.09E-10,-5.59E-10,-9.08E-10
5.9,-2.36E-12,9.92E-12,-3.64E-11,-1.48E-11,-3.71E-11,-4.06E-11,-6.81E-11,-1.00E-10,-1.07E-10,-1.58E-10,-2.10E-10,-2.85E-10,-5.42E-10,-9.00E-10
6,4.83E-12,1.15E-11,-1.67E-11,-1.48E-11,-1.18E-11,-2.19E-11,-5.84E-11,-1.11E-10,-1.21E-10,-1.73E-10,-2.11E-10,-2.97E-10,-5.47E-10,-9.08E-10
6.1,-1.49E-11,2.77E-11,-1.33E-11,-1.36E-11,-2.59E-11,-2.18E-12,-4.72E-11,-1.25E-10,-1.15E-10,-1.58E-10,-2.08E-10,-2.94E-10,-5.45E-10,-8.93E-10
6.2,-7.36E-12,2.18E-11,2.66E-12,-8.58E-12,-2.87E-11,-2.18E-12,-4.34E-11,-1.27E-10,-1.27E-10,-1.39E-10,-1.69E-10,-2.98E-10,-5.39E-10,-8.68E-10
6.3,-5.17E-12,-7.91E-14,4.85E-12,-1.20E-11,-3.56E-11,-1.69E-11,-6.22E-11,-9.33E-11,-1.32E-10,-1.40E-10,-1.67E-10,-2.93E-10,-5.52E-10,-8.77E-10
6.4,-1.42E-12,2.42E-12,2.66E-12,-1.36E-11,-3.93E-11,-1.94E-11,-5.09E-11,-9.11E-11,-1.33E-10,-1.46E-10,-1.75E-10,-3.08E-10,-5.56E-10,-8.80E-10
6.5,4.21E-12,1.80E-12,1.64E-13,-1.55E-11,-1.87E-11,-2.69E-11,-6.09E-11,-1.01E-10,-1.39E-10,-1.29E-10,-1.85E-10,-3.21E-10,-5.42E-10,-8.82E-10
6.6,-3.61E-12,1.56E-11,-1.71E-12,-5.45E-12,-2.34E-11,-4.00E-11,-7.53E-11,-1.02E-10,-1.24E-10,-1.48E-10,-2.19E-10,-3.13E-10,-5.32E-10,-8.99E-10
6.7,-1.20E-11,1.96E-11,-1.55E-11,5.49E-12,-3.34E-11,-4.03E-11,-5.50E-11,-9.24E-11,-1.15E-10,-1.60E-10,-2.10E-10,-3.02E-10,-5.43E-10,-8.85E-10
6.8,7.02E-12,1.09E-11,-2.11E-11,-4.20E-12,-1.65E-11,-1.94E-11,-6.37E-11,-7.52E-11,-1.24E-10,-1.66E-10,-1.95E-10,-3.21E-10,-5.57E-10,-8.69E-10
6.9,-9.23E-12,1.37E-11,-1.30E-11,-2.08E-11,-1.78E-11,-2.06E-11,-6.97E-11,-8.08E-11,-1.27E-10,-1.61E-10,-1.86E-10,-3.23E-10,-5.45E-10,-8.70E-10
7,-6.11E-12,1.37E-11,3.92E-12,-1.08E-11,-3.90E-11,-1.87E-11,-6.66E-11,-9.21E-11,-1.23E-10,-1.57E-10,-1.74E-10,-3.10E-10,-5.44E-10,-8.82E-10
7.1,-1.14E-11,1.05E-11,2.24E-11,-2.95E-12,-4.40E-11,-1.94E-11,-6.16E-11,-8.92E-11,-9.97E-11,-1.56E-10,-1.86E-10,-3.11E-10,-5.32E-10,-8.79E-10
7.2,-1.70E-11,8.36E-12,-7.74E-13,-1.67E-11,-3.53E-11,-3.59E-11,-5.75E-11,-8.58E-11,-1.10E-10,-1.53E-10,-1.98E-10,-2.92E-10,-5.44E-10,-8.93E-10
7.3,1.11E-11,1.84E-11,4.54E-12,-1.61E-11,-1.99E-11,-4.28E-11,-6.31E-11,-9.83E-11,-1.03E-10,-1.45E-10,-2.11E-10,-3.02E-10,-5.58E-10,-8.97E-10
7.4,2.96E-12,1.27E-11,-1.77E-11,-1.23E-11,-1.09E-11,-3.75E-11,-3.84E-11,-1.07E-10,-1.11E-10,-1.34E-10,-1.85E-10,-3.09E-10,-5.56E-10,-8.97E-10
7.5,-4.81E-13,-4.14E-12,-1.33E-11,6.43E-12,-2.65E-11,-4.78E-11,-4.22E-11,-1.07E-10,-1.27E-10,-1.47E-10,-1.83E-10,-3.11E-10,-5.30E-10,-8.76E-10
7.6,1.80E-11,8.59E-13,-9.53E-12,1.58E-11,-3.56E-11,-2.97E-11,-4.50E-11,-1.14E-10,-1.40E-10,-1.54E-10,-1.76E-10,-3.13E-10,-5.35E-10,-8.80E-10
7.7,2.36E-11,5.86E-12,-3.27E-12,1.49E-11,-3.71E-11,-3.09E-11,-5.12E-11,-1.14E-10,-1.18E-10,-1.55E-10,-1.87E-10,-2.97E-10,-5.48E-10,-8.74E-10
7.8,7.02E-12,1.24E-11,-1.36E-11,-4.20E-12,-3.59E-11,-1.75E-11,-4.69E-11,-1.08E-10,-1.08E-10,-1.64E-10,-1.81E-10,-3.17E-10,-5.34E-10,-8.81E-10
7.9,7.33E-12,1.46E-11,-6.71E-12,-2.26E-11,-1.99E-11,-9.37E-12,-6.34E-11,-8.80E-11,-1.09E-10,-1.76E-10,-1.80E-10,-3.27E-10,-5.24E-10,-8.80E-10
8,7.33E-12,2.24E-11,-1.17E-11,-3.45E-11,-2.90E-11,-2.06E-11,-6.66E-11,-8.89E-11,-1.05E-10,-1.37E-10,-1.79E-10,-3.13E-10,-5.34E-10,-8.85E-10
8.1,-3.92E-12,1.21E-11,-1.52E-11,-2.51E-11,-3.31E-11,-2.03E-11,-6.50E-11,-9.49E-11,-1.08E-10,-1.40E-10,-1.96E-10,-3.02E-10,-5.25E-10,-8.66E-10
8.2,-2.33E-11,2.40E-11,6.73E-12,-1.80E-11,-3.00E-11,-3.09E-11,-5.28E-11,-7.52E-11,-1.19E-10,-1.47E-10,-2.00E-10,-3.11E-10,-5.28E-10,-8.84E-10
8.3,-2.36E-11,2.09E-11,1.64E-11,-1.38E-13,-2.96E-11,-3.16E-11,-4.91E-11,-8.14E-11,-1.22E-10,-1.29E-10,-1.83E-10,-2.82E-10,-5.32E-10,-8.83E-10
8.4,-1.70E-11,1.93E-11,1.80E-11,1.74E-12,-3.68E-11,-1.53E-11,-4.75E-11,-9.24E-11,-1.07E-10,-1.25E-10,-1.74E-10,-2.75E-10,-5.42E-10,-8.78E-10
8.5,-5.17E-12,1.24E-11,2.36E-11,-8.58E-12,-2.78E-11,-1.31E-11,-6.78E-11,-9.58E-11,-9.34E-11,-1.29E-10,-1.90E-10,-2.86E-10,-5.40E-10,-8.76E-10
8.6,-2.36E-12,3.67E-12,9.54E-12,-1.05E-11,-2.84E-11,-3.47E-11,-5.00E-11,-1.04E-10,-8.50E-11,-1.35E-10,-1.97E-10,-2.93E-10,-5.38E-10,-8.77E-10
8.7,1.39E-12,1.02E-11,-6.09E-12,7.05E-12,-3.75E-11,-3.47E-11,-4.12E-11,-1.11E-10,-8.75E-11,-1.41E-10,-2.04E-10,-2.98E-10,-5.39E-10,-8.83E-10
8.8,-2.36E-12,-7.91E-14,4.77E-13,-6.39E-12,-4.93E-11,-3.00E-11,-5.31E-11,-1.03E-10,-1.19E-10,-1.36E-10,-1.99E-10,-3.09E-10,-5.39E-10,-8.77E-10
8.9,-1.02E-11,1.52E-11,3.60E-12,3.61E-12,-4.96E-11,-3.03E-11,-6.41E-11,-9.61E-11,-1.25E-10,-1.28E-10,-2.08E-10,-2.99E-10,-5.34E-10,-8.73E-10
9,-7.98E-12,1.30E-11,6.73E-12,-1.45E-11,-4.15E-11,-3.00E-11,-5.56E-11,-9.21E-11,-1.07E-10,-1.35E-10,-1.92E-10,-2.82E-10,-5.37E-10,-8.78E-10
9.1,4.52E-12,5.55E-12,-2.65E-12,-2.05E-11,-2.06E-11,-1.91E-11,-4.75E-11,-8.89E-11,-1.10E-10,-1.38E-10,-1.89E-10,-2.90E-10,-5.15E-10,-8.81E-10
9.2,-1.11E-11,7.74E-12,-8.59E-12,-1.30E-11,-2.03E-11,-2.53E-11,-4.25E-11,-9.96E-11,-1.21E-10,-1.46E-10,-1.99E-10,-3.12E-10,-5.08E-10,-8.78E-10
9.3,-1.17E-11,3.67E-12,-2.61E-11,-4.51E-13,-4.94E-12,-1.09E-11,-3.44E-11,-1.11E-10,-1.33E-10,-1.33E-10,-1.94E-10,-3.04E-10,-5.14E-10,-8.67E-10
9.4,-9.23E-12,1.62E-11,-2.52E-11,8.00E-13,-8.70E-12,-2.78E-11,-4.56E-11,-1.13E-10,-1.10E-10,-1.40E-10,-1.62E-10,-2.97E-10,-5.13E-10,-8.82E-10
9.5,-1.42E-12,1.90E-11,-1.83E-11,1.33E-11,-4.32E-12,-3.03E-11,-3.41E-11,-9.80E-11,-1.16E-10,-1.29E-10,-1.75E-10,-3.01E-10,-5.29E-10,-8.67E-10
9.6,1.08E-12,1.65E-11,-1.64E-11,-1.26E-11,-8.70E-12,-1.87E-11,-3.69E-11,-9.77E-11,-1.19E-10,-1.15E-10,-1.90E-10,-3.05E-10,-5.31E-10,-8.62E-10
9.7,7.33E-12,1.49E-11,-1.33E-11,-1.61E-11,-4.03E-11,-1.72E-11,-5.09E-11,-8.99E-11,-1.16E-10,-1.32E-10,-1.94E-10,-2.88E-10,-5.34E-10,-8.63E-10
9.8,-2.98E-12,1.68E-11,8.92E-12,-2.33E-11,-3.81E-11,-1.22E-11,-6.66E-11,-7.74E-11,-1.26E-10,-1.34E-10,-2.09E-10,-2.94E-10,-5.39E-10,-8.49E-10
9.9,-4.54E-12,2.40E-11,-6.09E-12,-9.20E-12,-2.28E-11,-1.44E-11,-7.66E-11,-8.14E-11,-1.24E-10,-1.37E-10,-1.82E-10,-2.98E-10,-5.22E-10,-8.32E-10
10,-7.94E-13,1.84E-11,-1.30E-11,1.67E-11,-1.43E-11,-2.19E-11,-6.03E-11,-8.92E-11,-1.06E-10,-1.30E-10,-1.78E-10,-3.08E-10,-5.13E-10,-8.42E-10
10.1,3.58E-12,2.42E-12,-2.96E-12,1.77E-11,-1.49E-11,-1.44E-11,-6.97E-11,-9.24E-11,-1.07E-10,-1.44E-10,-1.74E-10,-2.83E-10,-5.18E-10,-8.46E-10
10.2,-1.99E-11,7.74E-12,-7.96E-12,-7.63E-13,-1.40E-11,-2.19E-11,-4.81E-11,-9.14E-11,-1.21E-10,-1.70E-10,-1.77E-10,-2.70E-10,-5.24E-10,-8.65E-10
10.3,-2.33E-11,1.24E-11,-1.42E-11,-2.95E-12,-2.15E-11,-4.56E-11,-3.62E-11,-7.30E-11,-1.19E-10,-1.70E-10,-1.85E-10,-2.92E-10,-5.19E-10,-8.63E-10
10.4,-9.23E-12,1.71E-11,1.17E-11,-3.26E-12,-1.37E-11,-3.16E-11,-4.59E-11,-9.30E-11,-1.15E-10,-1.62E-10,-1.82E-10,-2.92E-10,-5.28E-10,-8.50E-10
10.5,-1.74E-11,4.92E-12,2.35E-12,-1.36E-11,-1.40E-11,-2.81E-11,-4.59E-11,-9.27E-11,-1.20E-10,-1.48E-10,-1.74E-10,-3.08E-10,-5.31E-10,-8.43E-10
10.6,-2.36E-12,-3.21E-12,-2.34E-12,-8.89E-12,-3.31E-11,-2.50E-11,-4.72E-11,-7.02E-11,-1.24E-10,-1.51E-10,-1.66E-10,-3.08E-10,-5.31E-10,-8.38E-10
10.7,-4.81E-13,1.15E-11,-2.65E-12,-1.98E-11,-2.62E-11,-2.53E-11,-6.19E-11,-8.14E-11,-1.23E-10,-1.41E-10,-1.68E-10,-3.08E-10,-5.13E-10,-8.38E-10
10.8,-7.36E-12,8.36E-12,-2.34E-12,-2.20E-11,-2.71E-11,-2.72E-11,-8.25E-11,-8.24E-11,-1.04E-10,-1.25E-10,-1.76E-10,-3.01E-10,-5.18E-10,-8.44E-10
10.9,-6.73E-12,7.11E-12,-5.46E-12,-1.20E-11,-1.21E-11,-1.12E-11,-8.16E-11,-7.89E-11,-9.90E-11,-1.38E-10,-1.77E-10,-2.96E-10,-5.23E-10,-8.38E-10
11,-2.02E-11,8.05E-12,-1.39E-11,-2.83E-11,-2.12E-11,-2.38E-11,-6.19E-11,-9.52E-11,-1.12E-10,-1.34E-10,-1.71E-10,-2.92E-10,-5.03E-10,-8.31E-10
11.1,-1.36E-11,9.61E-12,-3.59E-12,-1.73E-11,-3.06E-11,-2.50E-11,-3.84E-11,-9.14E-11,-9.65E-11,-1.25E-10,-1.73E-10,-2.98E-10,-5.08E-10,-8.42E-10
11.2,-1.99E-11,7.11E-12,2.98E-12,7.36E-12,-3.15E-11,-3.53E-11,-3.12E-11,-9.14E-11,-9.97E-11,-1.45E-10,-1.68E-10,-2.95E-10,-4.98E-10,-8.56E-10
11.3,-1.20E-11,4.30E-12,-8.90E-12,9.86E-12,-3.03E-11,-3.53E-11,-8.42E-12,-9.46E-11,-1.01E-10,-1.43E-10,-1.91E-10,-2.71E-10,-5.25E-10,-8.41E-10
11.4,4.21E-12,8.67E-12,-2.77E-11,-8.27E-12,-3.56E-11,-2.59E-11,-2.44E-11,-8.86E-11,-1.00E-10,-1.47E-10,-1.97E-10,-2.56E-10,-5.26E-10,-8.33E-10
11.5,9.83E-12,5.23E-12,-2.02E-11,-1.39E-11,-3.78E-11,-2.97E-11,-2.91E-11,-9.71E-11,-1.07E-10,-1.61E-10,-1.88E-10,-2.65E-10,-5.31E-10,-8.56E-10
11.6,2.20E-11,9.30E-12,-3.08E-11,1.75E-13,-1.90E-11,-2.41E-11,-5.59E-11,-9.24E-11,-1.14E-10,-1.44E-10,-1.76E-10,-2.57E-10,-5.21E-10,-8.56E-10
11.7,3.23E-11,1.02E-11,-1.52E-11,-1.20E-11,-4.32E-12,-1.84E-11,-6.00E-11,-8.58E-11,-1.27E-10,-1.34E-10,-1.63E-10,-2.76E-10,-5.24E-10,-8.35E-10
11.8,9.83E-12,2.12E-11,-8.59E-12,-2.45E-11,-1.31E-11,-1.62E-11,-5.31E-11,-6.92E-11,-1.20E-10,-1.33E-10,-1.70E-10,-2.82E-10,-5.14E-10,-8.43E-10
11.9,-5.80E-12,1.34E-11,2.98E-12,-2.51E-11,-1.74E-11,-1.25E-11,-5.56E-11,-8.58E-11,-1.11E-10,-1.20E-10,-1.66E-10,-2.87E-10,-5.10E-10,-8.52E-10
12,-1.92E-11,8.67E-12,1.08E-11,-1.98E-11,-8.38E-12,-1.87E-11,-6.03E-11,-8.86E-11,-1.08E-10,-1.31E-10,-1.74E-10,-2.83E-10,-5.20E-10,-8.27E-10
12.1,-1.24E-11,-3.52E-12,-2.65E-12,-1.36E-11,-2.03E-11,-2.25E-11,-5.50E-11,-8.02E-11,-1.18E-10,-1.31E-10,-1.69E-10,-3.01E-10,-5.23E-10,-8.37E-10
